Name,Titel,Position,Organisation,Fachgebiet,Expertise,Email,LinkedIn,Twitter,Website,Standort,Tags,Letzte Aktualisierung
Prof. Michael Weber,Professor für KI und ML,,,,AI Ethics; Neural Networks; Reinforcement Learning,,,,,,,
Iwan Lappo-Danilewski,,,,,Technologie,,,,,,Technologie; Geschäftsführer,
Univ.-Prof. Dr. Sepp Hochreiter,,,,,Wissenschaft,,,,,,Wissenschaft; Leiter des Instituts für Machine Learning,
Horst Bischof,,,,,Wissenschaft,,,,,,Wissenschaft; Rektor und Vorsitzender des KI-Beirats,
Markus Fallenböck,,,,,Wissenschaft,,,,,,Wissenschaft; Vizerektor für Personal und Digitalisierung,
Fabio Schmidberger,,,,,Technologie,,,,,,Technologie; CEO und Geschäftsführer,
Maximilian Vogel,,,,,Technologie,,,,,,Technologie; Co-Founder und Visionär,
PD Dr. Michael Weber,Senior AI Researcher,,,,Computer Vision; AI Ethics; Quantum AI,,,,,,,
PD Dr. Sophie Koch,Senior AI Researcher,,,,Machine Learning; Computer Vision; Deep Learning,,,,,,,
Hoa Le van Lessen,,,,,Strategie,,,,,,Strategie; Lead CX und Strategy,
Kilian Ehrhardt,,,,,Technologie,,,,,,Technologie; Lead Frontend Software Engineer,
Leonid Sokolov,,,,,Technologie,,,,,,Technologie; Senior Voice User Interface Engineer,
Imke Bewersdorf,,,,,Technologie,,,,,,Technologie; Product Owner and CX Consultant,
Thomas Bergmann,,,,,Technologie,,,,,,Technologie; Senior DevOps Engineer und Cloud Architect,
Martin Lass,,,,,Management,,,,,,Management; Kaufmännischer Leiter,
Dr. Michael Meyer,Senior AI Researcher,,,,Quantum AI; Natural Language Processing; AI Ethics,,,,,,,
Prof. Laura Hoffmann,Professor für KI und ML,,,,Robotics; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
Prof. Dr. Rolf Schwartmann,Prof. Dr.,,,,Datenschutzexperte,,,,,,Datenschutzexperte; Leiter der Forschungsstelle für Medienrecht,
Prof. Dr. Tobias Keber,Prof. Dr.,,,,Datenschutzexperte,,,,,,Datenschutzexperte; Landesbeauftragter für Datenschutz,
Monish Darda,,,,,Technologie,,,,,,Technologie; CTO und Mitgründer,
Ole Reißmann,,,,,Medien,,,,,,Medien; KI-Chef,
Philipp Gollmer,,,,,Medien,,,,,,Medien; Newsjournalist,
Oliver Fairhurst,,,,,Rechtsanwalt,,,,,,Rechtsanwalt; Partner,
Sally Hughes,,,,,Rechtsanwalt,,,,,,Rechtsanwalt; Senior Associate,
Sebastian Deubelli,,,,,Rechtsanwalt,,,,,,"Rechtsanwalt; Partner, Fachanwalt für Urheber- und Medienrecht",
Alex Graves,,,,,Website,,,,,,"Website; AI, Recurrent Neural Networks",
Prof. Markus Lienkamp,Prof.,,,,Tel: +49 89 289 15353; Email: sekretariat.ftm@ed.tum.de,,,,,,Tel: +49 89 289 15353; Email: sekretariat.ftm@ed.tum.de; Autonomous Driving,
Dr. Michael Müller,Senior AI Researcher,,,,Computer Vision; Neural Networks; Natural Language Processing,,,,,,,
Zack Kass,,,,,Website,,,,,,"Website; AI Strategy, Consulting",
Prof. Dr. Julia Wagner,Professor für KI und ML,,,,Machine Learning; Deep Learning; Computer Vision,,,,,,,
Dr. Martin Weber,Senior AI Researcher,,,,Robotics; Neural Networks; Reinforcement Learning,,,,,,,
PD Dr. Christian Becker,Senior AI Researcher,,,,Machine Learning; Neural Networks; Natural Language Processing,,,,,,,
Dr. Sophie Weber,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Dr. Julia Becker,Professor für KI und ML,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
Dr. Anna Wagner,Senior AI Researcher,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Prof. Alexander Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Prof. Thomas Meyer,Professor für KI und ML,,,,Neural Networks; AI Ethics; Machine Learning,,,,,,,
Prof. Maria Schmidt,Professor für KI und ML,,,,Machine Learning; Quantum AI; Reinforcement Learning,,,,,,,
Prof. Dr. Stefanie Jegelka,Prof. Dr.,,,,Visitenkarte in TUMonline,,,,,,"Visitenkarte in TUMonline; Foundations of Deep Neural Networks, Algorithmic Machine Learning",
Suvrit Sra,,,,,Tel: +49 228 833-144; Email: presse[at]avh.de,,,,,,Tel: +49 228 833-144; Email: presse[at]avh.de; Resource Aware Machine Learning,
Jonas Templestein,,,,,,,,,,,"AI, Software Development",
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Computer Vision; Neural Networks; Machine Learning,,,,,,,
Dr. Michael Schmidt,Senior AI Researcher,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
PD Dr. Christian Schmidt,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Robotics,,,,,,,
Prof. Anna Meyer,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
PD Dr. Maria Schulz,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Dr. Sophie Koch,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Neural Networks,,,,,,,
PD Dr. Anna Müller,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Dr. Julia Becker,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Computer Vision; AI Ethics; Natural Language Processing,,,,,,,
Dr. Laura Schmidt,Senior AI Researcher,,,,Robotics; Computer Vision; Explainable AI,,,,,,,
Yoshua Bengio,,,,,,,,,,,"Deep Learning, Artificial Intelligence",
Prof. Dr. Marco Huber,Prof. Dr.,,,,Forscher,,,,,,Forscher; Professor für kognitive Produktionssysteme,
PD Dr. Michael Wagner,Senior AI Researcher,,,,AI Ethics; Explainable AI; Quantum AI,,,,,,,
Dr. Maria Wagner,Senior AI Researcher,,,,Deep Learning; AI Ethics; Neural Networks,,,,,,,
Wolfgang Weber,,,,,Industrie,,,,,,"Industrie; Verantwortlicher digitale Transformation, Supply Chain",
Dr. Martin Schmidt,Senior AI Researcher,,,,Robotics; Reinforcement Learning; AI Ethics,,,,,,,
Shengyuan Su,,,,,Software Development,,,,,,Software Development; Sustainability Director,
PD Dr. Martin Meyer,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; AI Ethics,,,,,,,
Martina Ritzer,,,,,IT & KI,,,,,,IT & KI; Vortragende bei Fachkonferenz,
Jan Bungert,,,,,IT & KI,,,,,,IT & KI; Vortragender bei Fachkonferenz,
Maik Lange,,,,,IT & KI,,,,,,IT & KI; Vortragender bei Fachkonferenz,
Marco Di Filippo,,,,,IT & KI,,,,,,IT & KI; Vortragender bei Fachkonferenz,
Vali und Jakob Kiefl,,,,,Start-up,,,,,,Start-up; Gründer,
Paul Marold,,,,,Robotik,,,,,,Robotik; Head of Robot Engineering,
Prof. Maria Fischer,Professor für KI und ML,,,,AI Ethics; Computer Vision; Explainable AI,,,,,,,
Tobias Rietzler,,,,,Robotik,,,,,,"Robotik; CEO, Gründer",
PD Dr. Martin Wagner,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; AI Ethics,,,,,,,
Dr. Anna Weber,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
Peter Zellinger,,,,,Medien,,,,,,Medien; Redakteur,
Prof. Martin Schulz,Professor für KI und ML,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
Joshua Bolte,,,,,Podcast,,,,,,Podcast; KI-Experte,
Jonas Andrulis,,,,,KI-Start-up,,,,,,KI-Start-up; CEO,
Rachel Thomas,,,,,Nicht verfügbar,,,,,,Nicht verfügbar; Keine spezifische Rolle genannt,
PD Dr. Martin Schulz,Senior AI Researcher,,,,Neural Networks; Robotics; Explainable AI,,,,,,,
Max Seiter,,,,,Marketing,,,,,,Marketing; IT Solutions Manager,
Dr. Anna Fischer,Senior AI Researcher,,,,Natural Language Processing; Robotics; Quantum AI,,,,,,,
Michael Kirsch,,,,,Kundenservice,,,,,,Kundenservice; Teamlead Kundensupport,
Yannik Sturm,,,,,Kreative KI,,,,,,Kreative KI; Teamlead Creative,
Moritz Gielen,,,,,Recht,,,,,,Recht; Rechtsanwalt,
Prof. Thomas Schulz,Professor für KI und ML,,,,Machine Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Dr. Martin Schmidt,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Michael Connor,,,,,Technologie,,,,,,Technologie; Generative AI Product Development,
Harsh Singh,,,,,AI Branding,,,,,,AI Branding; LinkedIn Branding für KI-Leader,
Kim M. Scheurenbrand,,,,,Selbstständig,,,,,,Selbstständig; Keine spezifische Rolle genannt,
Lukas Stappen,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Julia Hörner,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Dr. Sophie Schulz,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Explainable AI,,,,,,,
Prof. Maria Becker,Professor für KI und ML,,,,Machine Learning; AI Ethics; Deep Learning,,,,,,,
Kay Firth-Butterfield,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Uli Köppen,,,,,Keine spezifische Rolle genannt,,,,,,Keine spezifische Rolle genannt; LinkedIn,
Sabina Jeschke,,,,,KI-Start-up,,,,,,KI-Start-up; Vorstandvorsitzende,
Prof. Dr. Sophie Schmidt,Professor für KI und ML,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Ralf Herbrich,,,,,KI und Nachhaltigkeit,,,,,,KI und Nachhaltigkeit; Geschäftsführer,
PD Dr. Michael Fischer,Senior AI Researcher,,,,Reinforcement Learning; AI Ethics; Computer Vision,,,,,,,
Dr. Thomas Meyer,Senior AI Researcher,,,,Explainable AI; AI Ethics; Computer Vision,,,,,,,
Max Frederick Gerken,,,,,Technologie,,,,,,Technologie; CEO,
Lars Wolff,,,,,Nicht verfügbar,,,,,,Nicht verfügbar; Keine spezifische Rolle genannt,
Philipp Knobelspies,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Maximilian Schneider,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
K. Semmelmann,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Yannik Bauer,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Lukas Scheuring,,,,,Mobilität,,,,,,Mobilität; Keine spezifische Rolle genannt,
Stefan Muff,,,,,Technologie,,,,,,Technologie; CEO,
Javaan Chahl,,,,,KI und Medizin,,,,,,"KI und Medizin; Co-Autor, Forscher",
Martin Giesswein,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Prof. Anna Meyer,Professor für KI und ML,,,,Neural Networks; Reinforcement Learning; Robotics,,,,,,,
Johanna Farnhammer,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Pascal Pöhler,,,,,Mittelstand,,,,,,Mittelstand; Keine spezifische Rolle genannt,
Jens Röttgering,,,,,KI-gestützte Objekterkennung,,,,,,KI-gestützte Objekterkennung; Inhaber und Vorsitzender des Verwaltungsrates,
PD Dr. Christian Müller,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Fabian Reichwald,,,,,KI und Nachhaltigkeit,,,,,,KI und Nachhaltigkeit; Kognitionswissenschaftler,
Lukas Schießer,,,,,KI und Nachhaltigkeit,,,,,,KI und Nachhaltigkeit; Kognitionswissenschaftler,
PD Dr. Alexander Koch,Senior AI Researcher,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
Torben Jessen,,,,,KI für kleine Unternehmen,,,,,,KI für kleine Unternehmen; Gründer,
PD Dr. Christian Müller,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Deep Learning,,,,,,,
Hendrik Reese,,,,,KI und Unternehmensberatung,,,,,,KI und Unternehmensberatung; Partner,
Jürgen Schnitzmeier,,,,,KI und Digitalisierung,,,,,,KI und Digitalisierung; Geschäftsführer,
Robert J. Schiermeier,,,,,KI und Workflow-Management,,,,,,KI und Workflow-Management; CEO,
Prof. Maria Meyer,Professor für KI und ML,,,,Machine Learning; Robotics; Deep Learning,,,,,,,
Dr. Michael Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Explainable AI,,,,,,,
Lorenz Kupfer,,,,,,,,,,,,
Michael Klimke,,,,,,,,,,,Geschäftsführer,
Gitta Kutyniok,,,,,Forschung,,,,,,"Forschung; Professorin für Mathematik, Informatik und Statistik",
Sydne-Aline Strasser,,,,,,,,,,,EMEA Data und KI-Spezialistin,
Thomas Langkabel,,,,,,,,,,,National Technology Officer,
PD Dr. Laura Weber,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Hoffmann,Professor für KI und ML,,,,Deep Learning; Robotics; Explainable AI,,,,,,,
Prof. Christian Wagner,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Machine Learning,,,,,,,
Melvin Schwarz,,,,,Startup,,,,,,Startup; Mitgründer,
Prof. Anna Becker,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
PD Dr. Maria Wagner,Senior AI Researcher,,,,Computer Vision; AI Ethics; Explainable AI,,,,,,,
Dr. Sophie Müller,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Explainable AI,,,,,,,
Ludwig Ensthaler,,,,,VC,,,,,,VC; Investor,
PD Dr. Christian Schmidt,Senior AI Researcher,,,,Reinforcement Learning; AI Ethics; Explainable AI,,,,,,,
Ragnar Kruse,,,,,Fonds,,,,,,Fonds; Partner und Gründer,
Ingo Hoffmann,,,,,Fonds,,,,,,Fonds; Beteiligter,
Petra Vorsteher,,,,,Fonds,,,,,,Fonds; Beteiligte,
John Lange,,,,,Fonds,,,,,,Fonds; Beteiligter,
Hauke Hansen,,,,,Fonds,,,,,,Fonds; Beteiligter,
Fabian Westerheide,,,,,Fonds,,,,,,Fonds; Beteiligter,
Oliver Schoppe,,,,,VC,,,,,,VC; Investor,
Nathan Benaich,,,,,VC,,,,,,VC; Investor,
Kristian Kersting,,,,,Akademisch,,,,,,Akademisch; Professor für maschinelles Lernen,
Tina Klüwer,,,,,Akademisch,,,,,,Akademisch; Forscherin,
Prof. Alexander Weber,Professor für KI und ML,,,,Robotics; Quantum AI; Neural Networks,,,,,,,
Katharina Zweig,,,,,Akademisch,,,,,,Akademisch; Professorin,
Verena Hafner,,,,,Akademisch,,,,,,Akademisch; Professorin für Adaptive Systeme,
Prof. Dr. Sepp Hochreiter,Prof. Dr.,,,,Akademisch,,,,,,Akademisch; Professor,
Peter Buxmann,,,,,Akademisch,,,,,,Akademisch; Universitätsprofessor für Wirtschaftsinformatik,
Prof. Peter Buxmann,Prof.,,,,Akademisch,,,,,,"Akademisch; Universitätsprofessor für Wirtschaftsinformatik, Mitgründer von zwei Unternehmen, Host des FAZ-Podcasts „Künstliche Intelligenz“",
Katie King,,,,,Beraterin,,,,,,"Beraterin; Keynote Speakerin, Beraterin, Task Force Mitglied",
Prof. Alexander Becker,Professor für KI und ML,,,,Robotics; Natural Language Processing; Neural Networks,,,,,,,
PD Dr. Martin Hoffmann,Senior AI Researcher,,,,Deep Learning; Natural Language Processing; Computer Vision,,,,,,,
Tim Cortinovis,,,,,Sprecher,,,,,,"Sprecher; Keynote Speaker, Autor",
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Robotics; Explainable AI,,,,,,,
PD Dr. Christian Fischer,Senior AI Researcher,,,,Neural Networks; Machine Learning; Computer Vision,,,,,,,
Prof. Dr. Tobias Kollmann,Prof. Dr.,,,,Akademisch,,,,,,"Akademisch; Hochschulprofessor, Experte, Business Angel, Autor",
Oliver Leisse,,,,,Forscher,,,,,,Forscher; Zukunftsforscher,
Frank Eilers,,,,,Medien,,,,,,Medien; Moderator,
Prof. Laura Meyer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
Prof. Thomas Hoffmann,Professor für KI und ML,,,,Robotics; AI Ethics; Explainable AI,,,,,,,
Dr. Maria Meyer,Senior AI Researcher,,,,Machine Learning; Robotics; Explainable AI,,,,,,,
Victoria Riess,,,,,Technologie,,,,,,"Technologie; Keynote Speakerin, Tech-Expertin",
Prof. Dr. Laura Schulz,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; AI Ethics,,,,,,,
Marc Forstmann,,,,,CEO,,,,,,CEO,
Dr. Alexander Koch,Senior AI Researcher,,,,Neural Networks; Robotics; Explainable AI,,,,,,,
Wolfgang Bibel,,,,,Akademisch,,,,,,Akademisch; Wissensrepräsentation und Schlussfolgern,
Susanne Biundo-Stephan,,,,,Akademisch,,,,,,Akademisch; Planen,
Gerhard Brewka,,,,,Akademisch,,,,,,Akademisch; Wissensrepräsentation und Schlussfolgern,
Otthein Herzog,,,,,Akademisch,,,,,,Akademisch; Multiagentensysteme/Bildverstehen/Anwendungen,
Prof. Christian Fischer,Professor für KI und ML,,,,AI Ethics; Deep Learning; Explainable AI,,,,,,,
PD Dr. Christian Weber,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Robotics,,,,,,,
Jörg H. Siekmann,,,,,Akademisch,,,,,,Akademisch; Wissensrepräsentation und Schlussfolgern,
Wolfgang Wahlster,,,,,Akademisch,,,,,,Akademisch; Mensch-Maschine-Interaktion/Dialogsysteme,
Stefan Wrobel,,,,,Akademisch,,,,,,Akademisch; Maschinelles Lernen,
Prof. Dr. Ingo Timm,Prof. Dr.,,,,Akademisch,,,,,,Akademisch; Vorsitzender der #KI50-Jury,
PD Dr. Julia Meyer,Senior AI Researcher,,,,Robotics; Neural Networks; Machine Learning,,,,,,,
Prof. Maria Koch,Professor für KI und ML,,,,Robotics; Computer Vision; Deep Learning,,,,,,,
Jürgen Seitz,,,,,Akademisch,,,,,,"Akademisch; Professor, KI-Forscher",
Dr. Sophie Müller,Senior AI Researcher,,,,Deep Learning; Neural Networks; Reinforcement Learning,,,,,,,
Jürgen Pfrommer,,,,,Akademisch,,,,,,"Akademisch; Lehrender, KI-Forscher",
Joachim Köhler,,,,,Akademisch,,,,,,Akademisch; Exekutivdirektor,
Laszlo Friedmann,,,,,Akademisch,,,,,,Akademisch; KI-Forscher,
Prof. Dr. Laura Koch,Professor für KI und ML,,,,Quantum AI; Computer Vision; Neural Networks,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Robotics; Machine Learning; Quantum AI,,,,,,,
Prof. Alexander Fischer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Prof. Dr. Anna Koch,Professor für KI und ML,,,,Neural Networks; Machine Learning; Explainable AI,,,,,,,
Prof. Dr. Laura Schulz,Professor für KI und ML,,,,Reinforcement Learning; Natural Language Processing; AI Ethics,,,,,,,
PD Dr. Maria Müller,Senior AI Researcher,,,,Machine Learning; Quantum AI; AI Ethics,,,,,,,
Prof. Dr. Maria Hoffmann,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
PD Dr. Maria Schulz,Senior AI Researcher,,,,Computer Vision; Robotics; Machine Learning,,,,,,,
Prof. Dr. Jürgen Schmidhuber,Prof. Dr.,,,,Forscher; Kultfigur,,,,,,"Forscher; Kultfigur; Director, Co-Founder & Chief Scientist, Scientific Director",
Prof. Alexander Fischer,Professor für KI und ML,,,,Neural Networks; Quantum AI; Reinforcement Learning,,,,,,,
Prof. Dr. Hans Uszkoreit,Prof. Dr.,,,,Forscher,,,,,,Forscher; CSO und Wissenschaftlicher Direktor,
Prof. Michael Meyer,Professor für KI und ML,,,,AI Ethics; Natural Language Processing; Explainable AI,,,,,,,
Prof. Dr. Alexander Meyer,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Prof. Dr. Kevin Warwick,Prof. Dr.,,,,Forscher; Kultfigur,,,,,,Forscher; Kultfigur; Professor für Kybernetik,
Dr. Thomas Fischer,Senior AI Researcher,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
Prof. Dr. Sabina Jeschke,Prof. Dr.,,,,Forscherin; Unternehmenssprecherin,,,,,,"Forscherin; Unternehmenssprecherin; CEO, CIO",
Prof. Robin Hanson,Prof.,,,,Forscher,,,,,,Forscher; Associate Professor für Wirtschaft,
PD Dr. Sophie Hoffmann,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Neural Networks,,,,,,,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Neural Networks; AI Ethics; Machine Learning,,,,,,,
Prof. Dr. Peter Sarlin,Prof. Dr.,,,,Zukunftsforscher,,,,,,Zukunftsforscher; CEO & Mitbegründer,
Prof. Teemu Roos,Prof.,,,,Forscher; Zukunftsforscher,,,,,,Forscher; Zukunftsforscher; Leiter der AI-Bildung,
Prof. Dr. Laura Schmidt,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; AI Ethics,,,,,,,
Jerry Yue,,,,,,,,,,,,
Joelle Pineau,,,,,Tech,,,,,,Tech; VP of AI Research,
Prof. Thomas Müller,Professor für KI und ML,,,,Machine Learning; Quantum AI; Neural Networks,,,,,,,
Vincent Vanhoucke,,,,,Tech,,,,,,Tech; Distinguished Scientist and Senior Director of Robotics,
Fei-Fei Li,,,,,Academia,,,,,,"Academia; Sequoia Professor of Computer Science & Co-Director, HAI",
PD Dr. Martin Meyer,Senior AI Researcher,,,,Quantum AI; Deep Learning; Explainable AI,,,,,,,
Sabry Tozin,,,,,Tech,,,,,,Tech; VP of Engineering,
Sébastien Bubeck,,,,,Tech,,,,,,Tech; Vice President,
Dr. Martin Fischer,Senior AI Researcher,,,,Explainable AI; Neural Networks; AI Ethics,,,,,,,
Igor Babuschkin,,,,,Tech,,,,,,Tech; Co-Founder,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Deep Learning,,,,,,,
PD Dr. Laura Weber,Senior AI Researcher,,,,Deep Learning; Natural Language Processing; Computer Vision,,,,,,,
Priscilla Chan,,,,,Non-Profit,,,,,,Non-Profit; Co-Founder and co-CEO,
Nicolas Chapados,,,,,Tech,,,,,,Tech; Vice President of Research,
Kanjun Qiu,,,,,Tech,,,,,,Tech; CEO and Co-Founder,
Yoav Shoham,,,,,Tech,,,,,,Tech; Co-Founder and Co-CEO,
Raquel Urtasun,,,,,Tech,,,,,,Tech; Founder and CEO,
Marc Raibert,,,,,Research,,,,,,Research; Executive Director,
Prof. Maria Weber,Professor für KI und ML,,,,Quantum AI; Robotics; Neural Networks,,,,,,,
Xavier Amatriain,,,,,Tech,,,,,,Tech; VP of Product,
Kathi Vidal,,,,,Gov,,,,,,Gov; Under Secretary of Commerce for Intellectual Property and Director,
Noam Shazeer,,,,,Tech,,,,,,Tech; Chief Executive Officer and Co-Founder,
Dr. Michael Schmidt,Senior AI Researcher,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Aidan Gomez,Co-Founder and CEO,Co-Founder and CEO,,,Artificial Intelligence; Natural Language Processing,,,,,,AI Technology; Enterprise AI; Natural Language Processing; Machine Learning,
Prof. Martin Becker,Professor für KI und ML,,,,Reinforcement Learning; Natural Language Processing; Explainable AI,,,,,,,
PD Dr. Christian Hoffmann,Senior AI Researcher,,,,Neural Networks; AI Ethics; Computer Vision,,,,,,,
PD Dr. Martin Schulz,Senior AI Researcher,,,,Machine Learning; Robotics; AI Ethics,,,,,,,
Laure Zanna,,,,,Academia,,,,,,Academia; Professor of Mathematics & Atmosphere/Ocean Science,
Dr. Maria Becker,Senior AI Researcher,,,,Natural Language Processing; Explainable AI; Computer Vision,,,,,,,
Ted W. Lieu,,,,,Gov,,,,,,Gov; Representative (D-CA 36th District),
Prof. Alexander Meyer,Professor für KI und ML,,,,Computer Vision; Quantum AI; Machine Learning,,,,,,,
Peter Lee,,,,,Tech,,,,,,Tech; President,
Prof. Dr. Michael Schulz,Professor für KI und ML,,,,AI Ethics; Robotics; Machine Learning,,,,,,,
Seemantini Godbole,,,,,Retail,,,,,,"Retail; Executive Vice President, Chief Digital and Information Officer",
Rodolphe Katra,,,,,MedTech,,,,,,MedTech; Vice President of Artificial Intelligence,
Illia Polosukhin,,,,,Tech,,,,,,Tech; Co-Founder,
Prem Natarajan,,,,,Finance,,,,,,"Finance; Executive Vice President, Chief Scientist and Head of Enterprise AI",
Masahiro Ogawa,,,,,Tech,,,,,,"Tech; Representative Director, President",
Percy Liang,,,,,Academia,,,,,,Academia; Associate Professor & Director of CRFM,
Dr. Julia Fischer,Senior AI Researcher,,,,Neural Networks; Robotics; AI Ethics,,,,,,,
Prof. Julia Meyer,Professor für KI und ML,,,,Quantum AI; Machine Learning; Natural Language Processing,,,,,,,
Prof. Dr. Sophie Hoffmann,Professor für KI und ML,,,,Reinforcement Learning; Neural Networks; AI Ethics,,,,,,,
PD Dr. Laura Meyer,Senior AI Researcher,,,,AI Ethics; Machine Learning; Quantum AI,,,,,,,
Prof. Christian Schulz,Professor für KI und ML,,,,Neural Networks; Explainable AI; Robotics,,,,,,,
Olexandr Isayev,,,,,Academia,,,,,,Academia; Associate Professor,
Kari Briski,,,,,Tech,,,,,,Tech; Vice President Generative AI Software Product Management,
Gilad Shainer,,,,,Tech,,,,,,Tech; Senior Vice President Networking,
Ian Buck,,,,,Tech,,,,,,Tech; Vice President of Hyperscale and HPC,
Niki Parmar,,,,,Tech,,,,,,Tech; Co-Founder,
Dr. Thomas Schmidt,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Deep Learning,,,,,,,
Llion Jones,,,,,Tech,,,,,,Tech; Co-Founder and Chief Technology Officer,
Jakob Uszkoreit,,,,,Tech,,,,,,Tech; Co-Founder and Chief Executive Officer,
Lukasz Kaiser,,,,,Tech,,,,,,Tech; Member of Technical Staff,
Prof. Thomas Schmidt,Professor für KI und ML,,,,Neural Networks; Robotics; Natural Language Processing,,,,,,,
Dr. Alexander Meyer,Senior AI Researcher,,,,Robotics; Computer Vision; AI Ethics,,,,,,,
Dr. Alexander Wagner,Senior AI Researcher,,,,AI Ethics; Computer Vision; Natural Language Processing,,,,,,,
Prof. Martin Wagner,Professor für KI und ML,,,,Machine Learning; Explainable AI; Neural Networks,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Dr. Julia Schmidt,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; AI Ethics,,,,,,,
PD Dr. Christian Meyer,Senior AI Researcher,,,,Deep Learning; Explainable AI; AI Ethics,,,,,,,
Prof. Dr. Christian Wagner,Professor für KI und ML,,,,Quantum AI; Computer Vision; Explainable AI,,,,,,,
Prof. Alexander Schulz,Professor für KI und ML,,,,Machine Learning; Deep Learning; Robotics,,,,,,,
Prof. Dr. Michael Wagner,Professor für KI und ML,,,,Computer Vision; Explainable AI; Reinforcement Learning,,,,,,,
Prof. Dr. Maria Schmidt,Professor für KI und ML,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
PD Dr. Thomas Meyer,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Neural Networks,,,,,,,
Prof. Thomas Koch,Professor für KI und ML,,,,Robotics; Computer Vision; Machine Learning,,,,,,,
